nr wiersza 0, nr kolumny 0, [r. suma nagród Q = [304.919, 387.45392, 284.14496, 274.6916, -10.536262, ]
nr wiersza 0, nr kolumny 1, [r. suma nagród Q = [312.40085, 424.55978, 312.77072, 312.7536, -7.755882, ]
nr wiersza 0, nr kolumny 2, [r. suma nagród Q = [323.4326, 451.41525, 321.7352, 291.7052, -1.9140567, ]
nr wiersza 0, nr kolumny 3, [r. suma nagród Q = [346.73218, 330.74374, 469.25504, 353.6294, -0.9598, ]
nr wiersza 0, nr kolumny 4, [r. suma nagród Q = [265.06036, 173.12521, 243.72525, 455.0896, -1.9130995, ]
nr wiersza 0, nr kolumny 5, [r. suma nagród Q = [76.65127, 262.23602, 101.78633, 116.9235, -6.049801, ]
nr wiersza 0, nr kolumny 6, [r. suma nagród Q = [100.67885, 288.61365, 71.44261, 94.26247, 0.0, ]
nr wiersza 0, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 1, nr kolumny 0, [r. suma nagród Q = [230.59401, 329.50125, 221.23738, 240.23183, -11.481047, ]
nr wiersza 1, nr kolumny 1, [r. suma nagród Q = [298.77258, 347.385, 269.17886, 298.2386, -9.0106, ]
nr wiersza 1, nr kolumny 2, [r. suma nagród Q = [251.02086, 384.06818, 209.16684, 236.89848, -7.825491, ]
nr wiersza 1, nr kolumny 3, [r. suma nagród Q = [357.07425, 433.71274, 231.14441, 327.1383, -6.657488, ]
nr wiersza 1, nr kolumny 4, [r. suma nagród Q = [333.98883, 268.04614, 260.65942, 455.326, -1.5786105, ]
nr wiersza 1, nr kolumny 5, [r. suma nagród Q = [242.23677, 308.5219, 235.94038, 265.23456, -6.1, ]
nr wiersza 1, nr kolumny 6, [r. suma nagród Q = [228.20226, 316.59207, 251.76701, 239.33348, 0.22652815, ]
nr wiersza 1, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 2, nr kolumny 0, [r. suma nagród Q = [200.56906, 255.20445, 187.16519, 200.4205, -8.822072, ]
nr wiersza 2, nr kolumny 1, [r. suma nagród Q = [208.28499, 167.78787, 182.93167, 220.9579, 296.0262, ]
nr wiersza 2, nr kolumny 2, [r. suma nagród Q = [174.80377, 177.87532, 206.12193, 196.96669, -14.0635395, ]
nr wiersza 2, nr kolumny 3, [r. suma nagród Q = [171.34178, 214.68755, 234.85544, 163.65071, -6.3346095, ]
nr wiersza 2, nr kolumny 4, [r. suma nagród Q = [233.58047, 280.3244, 222.53696, 181.27869, -0.6526289, ]
nr wiersza 2, nr kolumny 5, [r. suma nagród Q = [256.35724, 310.35733, 251.8354, 247.48532, -0.3537, ]
nr wiersza 2, nr kolumny 6, [r. suma nagród Q = [270.09665, 331.15945, 243.6611, 254.30634, -0.1, ]
nr wiersza 2, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 3, nr kolumny 0, [r. suma nagród Q = [186.79474, 184.45395, 208.6685, 183.18016, -9.932603, ]
nr wiersza 3, nr kolumny 1, [r. suma nagród Q = [187.46257, 212.31667, 188.47762, 188.95047, -7.9208226, ]
nr wiersza 3, nr kolumny 2, [r. suma nagród Q = [194.0919, 234.11395, 191.1608, 192.38792, -12.3959675, ]
nr wiersza 3, nr kolumny 3, [r. suma nagród Q = [200.68483, 252.77109, 205.8796, 199.01013, -6.1098, ]
nr wiersza 3, nr kolumny 4, [r. suma nagród Q = [228.07097, 270.87033, 221.09718, 221.37987, -0.8547983, ]
nr wiersza 3, nr kolumny 5, [r. suma nagród Q = [241.59146, 237.36537, 233.03848, 237.08604, 294.88904, ]
nr wiersza 3, nr kolumny 6, [r. suma nagród Q = [226.26463, 215.62323, 221.09615, 273.39612, -0.31058866, ]
nr wiersza 3, nr kolumny 7, [r. suma nagród Q = [0.0, 0.0, 0.0, 0.0, 0.0, ]
nr wiersza 4, nr kolumny 0, [r. suma nagród Q = [192.59218, 221.832, 189.1939, 191.51242, -11.22293, ]
nr wiersza 4, nr kolumny 1, [r. suma nagród Q = [198.36163, 231.51762, 195.25739, 194.88885, -10.552167, ]
nr wiersza 4, nr kolumny 2, [r. suma nagród Q = [206.2506, 240.7778, 200.61787, 200.38829, -3.8142674, ]
nr wiersza 4, nr kolumny 3, [r. suma nagród Q = [219.88237, 250.55016, 212.89897, 208.22684, -3.690309, ]
nr wiersza 4, nr kolumny 4, [r. suma nagród Q = [213.54726, 259.6038, 218.47595, 211.25224, -1.0993438, ]
nr wiersza 4, nr kolumny 5, [r. suma nagród Q = [229.26091, 228.06592, 226.7686, 225.79526, 269.32578, ]
nr wiersza 4, nr kolumny 6, [r. suma nagród Q = [209.29143, 242.81697, 199.92593, 207.99933, 16.40445, ]
nr wiersza 4, nr k
